Time,Ask,Bid,AskVolume,BidVolume
10.02.2014 03:08:46.611,6.03260,6.03070,0.06,0.06
10.02.2014 03:08:48.714,6.03250,6.03070,0.10,0.08
10.02.2014 03:10:54.669,6.03240,6.03060,0.11,0.08
10.02.2014 03:11:18.700,6.03250,6.03050,0.11,0.06
10.02.2014 03:11:20.702,6.03240,6.03050,0.10,0.11
10.02.2014 03:11:28.613,6.03280,6.03060,0.08,0.09
10.02.2014 03:12:06.761,6.03280,6.03050,0.10,0.08
10.02.2014 03:12:50.714,6.03330,6.03030,0.10,0.08
10.02.2014 03:13:32.664,6.03260,6.03070,0.06,0.10
10.02.2014 03:13:48.685,6.03270,6.03060,0.10,0.08
10.02.2014 03:13:50.687,6.03260,6.03080,0.09,0.10
10.02.2014 03:13:52.690,6.03260,6.03070,0.06,0.11
10.02.2014 03:13:56.694,6.03300,6.03080,0.06,0.08
10.02.2014 03:14:00.598,6.03260,6.03070,0.10,0.10
10.02.2014 03:14:06.704,6.03310,6.03070,0.11,0.08
10.02.2014 03:14:14.714,6.03270,6.03080,0.08,0.11
10.02.2014 03:14:16.616,6.03310,6.03090,0.08,0.06
10.02.2014 03:20:42.690,6.03270,6.03080,0.10,0.11
10.02.2014 03:20:46.695,6.03260,6.03080,0.11,0.10
10.02.2014 03:20:52.702,6.03300,6.03030,0.08,0.06
10.02.2014 03:22:20.707,6.03260,6.03070,0.08,0.09
10.02.2014 03:22:22.709,6.03260,6.03080,0.10,0.10
10.02.2014 03:22:34.623,6.03260,6.03070,0.06,0.11
10.02.2014 03:22:42.732,6.03260,6.03080,0.08,0.06
10.02.2014 03:23:46.708,6.03250,6.03070,0.09,0.08
10.02.2014 03:23:58.624,6.03300,6.03080,0.10,0.09
10.02.2014 03:24:00.726,6.03260,6.03080,0.09,0.11
10.02.2014 03:24:14.743,6.03270,6.03070,0.08,0.10
10.02.2014 03:24:16.646,6.03300,6.03080,0.09,0.08
10.02.2014 03:24:18.649,6.03310,6.03080,0.10,0.11
10.02.2014 03:24:38.674,6.03330,6.03030,0.10,0.08
10.02.2014 03:25:16.624,6.03300,6.03090,0.11,0.08
10.02.2014 03:25:18.627,6.03300,6.03100,0.08,0.10
10.02.2014 03:25:22.632,6.03300,6.03110,0.10,0.11
